dcode,no_male,no_female,no_people
1025,46569,53750,100319
1017,35694,42026,77720
1045,52925,62158,115083
1048,35196,40264,75460
1011,77034,83816,160850
1026,61684,70163,131847
1019,50414,56372,106786
1002,57513,51302,108815
1044,41224,47694,88918
1014,36639,36894,73533
1020,57144,62888,120032
1037,34886,38014,72900
1001,28223,30548,58771
1008,25312,26781,52093
1007,25437,29559,54996
1040,90298,101978,192276
1034,53689,61730,115419
1039,38153,42694,80847
1016,35019,38845,73864
1022,61556,68937,130493
1013,13587,14414,28001
1033,53240,57241,110481
1015,57651,63888,121539
1018,36333,41138,77471
1032,75108,83349,158457
1004,21739,24348,46087
1023,69491,78807,148298
1028,41117,45097,86214
1012,39515,42966,82481
1035,76115,82531,158646
1031,46272,50150,96422
1009,43686,50796,94482
1024,42289,45552,87841
1050,50376,54392,104768
1047,45814,51225,97039
1021,76974,84668,161642
1036,82691,83519,166210
1003,75401,78970,154371
1042,87801,98186,185987
1046,78804,86548,165352
1041,53107,58013,111120
1005,90000,98252,188252
1030,76186,85223,161409
1043,40719,46450,87169
1010,64680,71556,136236
1038,55826,66354,122180
1029,64121,70880,135001
1027,67308,78889,146197
1006,67820,80825,148645
1049,54574,61249,115823
